(1)   | 1161.350 (20:14:00.312) 1557  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 1221.900 (20:15:00.862) 1639  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 1222.300 (20:15:01.262) 1642  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 1222.800 (20:15:01.762) 1644  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(5)   | 1223.400 (20:15:02.362) 1646  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 1283.850 (20:16:02.812) 1731  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 1284.450 (20:16:03.412) 1734  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(8)   | 1284.950 (20:16:03.912) 1736  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{8}   | 1284.950 (20:16:03.912) 1737  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 1285.450 (20:16:04.412) 1739  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 1345.850 (20:17:04.812) 1820  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 1346.450 (20:17:05.412) 1823  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 1346.950 (20:17:05.912) 1825  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 1347.350 (20:17:06.312) 1827  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{5}   | 1347.450 (20:17:06.412) 1828  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 1407.900 (20:18:06.862) 1911  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 1408.400 (20:18:07.362) 1914  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 1408.950 (20:18:07.912) 1917  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 1409.500 (20:18:08.462) 1919  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 1470.000 (20:19:08.962) 2001  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 1470.450 (20:19:09.412) 2004  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 1471.050 (20:19:10.012) 2006  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(8)   | 1471.500 (20:19:10.462) 2008  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(9)   | 1532.000 (20:20:10.962) 2087  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
{9}   | 1532.150 (20:20:11.112) 2088  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 1532.500 (20:20:11.462) 2091  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 1533.100 (20:20:12.062) 2093  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 1533.600 (20:20:12.562) 2095  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 1594.050 (20:21:13.012) 2175  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 1594.600 (20:21:13.562) 2178  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 1595.100 (20:21:14.062) 2180  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 1595.550 (20:21:14.512) 2182  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(8)   | 1656.050 (20:22:15.012) 2265  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(9)   | 1656.550 (20:22:15.512) 2268  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{9}   | 1656.650 (20:22:15.612) 2269  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 1657.100 (20:22:16.062) 2271  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 1657.650 (20:22:16.612) 2273  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 1718.200 (20:23:17.162) 2355  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 1718.600 (20:23:17.562) 2358  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 1719.200 (20:23:18.162) 2361  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(6)   | 1719.700 (20:23:18.662) 2363  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(7)   | 1780.100 (20:24:19.062) 2442  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{7}   | 1780.200 (20:24:19.162) 2443  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 1780.600 (20:24:19.562) 2446  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 1781.100 (20:24:20.062) 2448  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
